,Crime Category,Crime Notes
13,Violent Crime,"the complainant is a taxi driver working a night . he attends on kirkstall road to collect a booked fare to in the name of . four get in the taxi ∂® the suspect , a female and two males . the journey takes them via the under the leeds ring road prior to the start of the york road . one of the males is in drink , and the customers and with the complainant about it should in the taxi . when the taxi is in the of the and pub on york road , a male in the rear of the vehicle on the , and a verbal argument ensues over payment for the and this should be . the complainant to his via on his , and the passengers are told the will be . staff also the complainant to transport the passengers to should they have an with this . the suspect who is in drink then becomes aggressive and verbally abusive , calling the complainant a and him of his . the suspect then leans over from the rear of the taxi and grabs the complainants left arm . he then puts both around the driver∂®s seat and grabs the complainants face whilst he is still driving , punches to the right side of his face . the complainant is to the car to a stop , puts his on and his for . all the passengers alight from the vehicle and make off from the suspect who remains by the taxi , shouting and hitting the vehicle . the complainant remains in the vehicle and calls the police , a watch on the suspect and him to the police call . when officers arrive the complainant the suspect out , who is just a few along the road . the suspect is arrested after he in the road and puts his out as if to . the complainant has a visible the of a on his left cheek at the side of his nose , and has of and to his head and neck ."
14,Other Theft,victim leaves phone in taxi . taxi driver witnesses the next passenger take phone when leaving taxi . phone is not handed in to police .
15,Criminal Damage,"victim is a taxi driver , an unknown male got in the taxi with no of payment , refused to get out of the taxi after been asked several times , still refuses so taxi driver removes suspect . as victim is getting back into his vehicle , suspect has the wing mirror on the vehicle it to smash . suspect then walks away"
16,Other Theft,"suspect is taxi driver and victim is his passenger . the victim alights and his , that his phone is on the . the driver starts to leave and the victim knocks on the window and shouts about his phone . the driver him and up , making off . victim contacts taxi rank and is refused any so reports the matter to police ."
17,Criminal Damage,takes taxi from leeds city centre . whilst in a taxi her friend begins to . taxi driver stops and the and friend get out . suspect ( taxi driver ) and knocks her phone out of her hand it to fall to the floor and smash . the taxi driver gets in his vehicle and make s off
18,Other Theft,complainant is taxi driver who takes fare from locus to and back . male goes into house to get the fare and fails to come out .
19,Criminal Damage,"comp is a taxi driver for leeds and cars , on date stated suspect who has a taxi has dispute with driver over price . suspect threatens to smash the comps taxi up it is seen ."
20,Other Theft,between the times stated complainant is a taxi driver who picks up a fare and waits for the person to come back . he then drives the person home . the person asks to be dropped off at the which he does . the person then makes off without payment .
21,Criminal Damage,"between times and dates stated suspect is in the middle of the road as the victim approaches in his taxi . the suspect remains in the middle of the road as the victim and his at her , and the . suspect then throws her at the windscreen of the car and the windscreen with her hand , causing it to smash . suspect then runs off and taxi driver police on foot . suspect is and details ."
22,Criminal Damage,"locus is a residential street . located on the street is a club . at the stated time , the complainant , who is a taxi driver , arrives to collect a pre-booked fare . around to get into his taxi . complainant they are not the fare and he is to collect the fare only . the customer enters the vehicle . the suspects and the other males in the group the taxi demanding the taxi driver takes them . one male tries to open the side door but does not get in . suspect 1 then punches the nearside wing mirror causing it to break , the complainant states suspect 2 punches his window but causes no damage . complainant rings police ."
23,Violent Crime,"the complainant is a taxi driver who collected the suspect from leeds city centre from a club called . at time and location stated after a over payment of fare the suspect calls the complainant a and also states that he will state that the complainant has assaulted him before he uses both hands to punch the complainant the back of the neck area before he puts his hands down his own and the left arm of the complainant stating that his is now on him , the complainant his in the taxi and a , his call centre call police to report the incident ."
24,Violent Crime,victim is a taxi driver . he picks up a fare and requests payment up front . suspects have and are asked to leave the taxi . suspects the taxi driver by from behind and leave taxi before making off with out paying . suspect leaves wallet behind with inside
25,Other Theft,suspects are 4 females who a taxi from locus . on the journey they tell taxi driver their male friends will pay for the taxi upon arrival at destination . on arrival male friends state they do not have any money and females then run off failing to make payment of for the journey .
26,Other Theft,"suspect is taxi driver who the victim to his home address . victim leaves his and phone in the car whilst into the house to money to pay the fare , before returning to the car and paying the fare . victim he has left his property with the suspect and the suspect then drives away"
27,Other Theft,"between times and dates stated suspect has not got enough money to pay for taxi hands phone to unknown taxi driver , to collect when paid . to call phone to speak with taxi driver . unknown suspect phone and states that he has just the phone . suspect with caller . caller can now not contact taxi driver who is believed to of the phone ."
28,Robbery,"this is a the complainant is a taxi driver who collected a fare from harehills avenue and drives the two suspects to beeston . when vehicle stops the suspect in the seat behind the front seat grabs hold of and has a knife with a in the other hand which he puts to the complainants head and says me the . at this point the other male tries to the complainant by the , but he in his seat to this . this male also give me the money give me the the complainant says no leave me leave . the suspect says ∂® no no give me the me the . the complainant been in fear for his safety pushes the male with the knife away from him . he did not know what to do so he put the car into first and drove . the suspect behind the complainant the car door and to take the keys out of the . both males were now out of the car so he drove away with the doors open and drove to the road . he has then his friend and the taxi company them know what had ."
29,Other Theft,"suspect orders taxi from taxi company , getting picked up outside of on harehills road , leeds . at this time he does not have to pay the driver up front that his has the money if he can be taken . taxi driver asks for some of and suspect opens his wallet taxi driver to a of . taxi driver a card with suspects name on . suspect is taken to place , , where taxi waits for him outside for around 15 minutes . suspect then gets back into taxi and then asks to be taken to . complainant take suspect to street , , and complainant again ask for a payment . suspect say to go to number street , suspect then gets out of taxi goes to the door and is by a male before going inside and the door to the address . complainant again waits 15 minutes before going to at the door for his fare . a male the door , complainant asks for his fare but the male explains that he does not know about it . complainant returns to car and reports the matter to police ."
30,Violent Crime,"between times , date and location stated the victim is a taxi driver with the suspect in the passenger seat . the suspect is and when they the destination . the suspect becomes and refuses to get out . after a short time the suspect punches the victim on the chest and face . the victim and to get the suspect out of the car and made his way to police station ."
31,Other Theft,victim paying money to taxi driver . hands over cash and taxi driver pulls of ring from victims and makes off .
32,Violent Crime,victim was a taxi driver and was dropping off passengers when the front passenger hit the victim in the face with the back of his hand .
33,Criminal Damage,at time and date stated suspect is in . taxi driver suspect about his behaviour and then suspect throws through rear of vehicle . suspect then makes good of escape on foot .
34,Other Theft,comp is a taxi driver in leeds . between times and dates stated comp has picked suspect up in leeds city centre and has taken him a short distance . comp has then told suspect that he will not be taking him any further due to the . comp has asked the suspect to pay the fare which was . . suspect has refused to pay and got out of the taxi .
35,Violent Crime,"comp is a taxi driver in leeds . between times and dates stated comp has picked suspect up in leeds city centre and taken him a short distance where he has told suspect he will not be taking him any further due to . suspect has then to pay the fare , his the driver∂®s windscreen and has called the comp a bastard∂® . he has then made off and been to officers ."
36,Other Theft,suspects make off from taxi without paying fare after taxi driver refused to continue journey following them and refusing to pay the
37,Violent Crime,victim is a taxi driver and collects a fare from hotel in . for unknown front seat passenger becomes aggressive and hits the before the victim by punching him 3 times on his shoulder for .
38,Violent Crime,suspect assaults taxi driver using causing injury . suspect alights from taxi and is seen the taxi to the vehicle . suspect detained and arrested .
39,Violent Crime,"suspect/s leave taxi , failing to pay , and shout racially at the taxi driver upon the vehicle ."
40,Criminal Damage,"complainant is taxi driver who gets a call to collect a fare in park , collect 3 and one is sick a distance away , complainant refuses to take fare any further and to this the male inside the vehicle kicks the rear passenger door as he walks off causing damage ,"
41,Other Theft,complainant is taxi driver and picks up suspect from hotel . suspect makes off from taxi without paying fare and runs away .
42,Other Theft,"between times stated , victim is a taxi driver and collects suspect from outside black , . suspect is taken to locus and leaves stating he will get have to get the money from inside his property and come back to pay . suspect leaves the taxi and does not return , and does not make payment ."
43,Fraud & Forgery,"complainant is taxi driver driving hackney . suspect enters vehicle , tells comp she has no money and asks to stop at an atm on route . comp stops at on the way . suspect asks for one to home and comp eventually at locus , suspect leaves vehicle and makes off on foot making no to pay"
44,Criminal Damage,"is a taxi driver and had pulled up in local side street after dropping off a fare . at stated , whilst parked up , suspect approaches vehicle in drink and a bottle and out of my suspect opens front nearside door and vehicle out of street to get away with unknown causing door to . 2 other suspects in street begin at vehicle causing both front and rear to . drives away to call police and suspect ( s ) make off in unknown direction ."
45,Violent Crime,"victim is a taxi driver and whilst on duty takes his fare to lane , leeds , as requested . suspect refuses to pay for the fare and also is under the of . a ensues with victim and suspect assaults victim with his bag by it to his head . victim for his safety suspect on the before him go and away from him . suspect makes off on foot towards the flats . victim rings the police and reports the incident ."
46,Violent Crime,"between times stated , victim who is a taxi driver and was parked outside locus when he was approached by a male and female asking if he was their taxi , a verbal argument ensues , causing the victim to get out of his taxi and in doing so was three times to his chest by the female . causing no injury , or pain ."
47,Violent Crime,comp is taxi driver who has altercation with suspect over payment . comp contacts police during which it could be the suspect stating she had paid him to which the comp said she . suspect then calls comp ∂® before walking off towards train station .
48,Theft From Motor Vehicle,"victim is a taxi driver and picks up 3 customers from a pub , customers request a to leeds city centre via a of locations and they set off . during their journey the suspects the victim with small and around then begin to remove the , 2 and 2 floor and them at locations they stop at along the way . when in leeds city centre suspect pay for fare in and walk away before the victim notices . victim returns to stop off and one of the before calling police ."
49,Criminal Damage,the complainant is a taxi driver for amber cars . he attends at 's on street to collect a fair . he has the name . he stops and the suspect comes out of the and walks towards the taxi . the complainant tries to if the female is his . the suspect then starts hitting and kicking the nearside front door on the taxi . she causes to the door . the suspect then makes off up lane . officers are on on are flagged down down by a witness . the suspect is out and officers see her running away up lane . she is detained near to view . she is in drink . after to complainant and witness the suspect is arrested on of damage to the taxi
50,Other Theft,complainant is taxi driver and picks up suspects from train station then transports then to locus . there is a dispute over the taxi fare and suspects not to pay it . there is an argument and suspects exit taxi and make off without making payment .
51,Other Theft,"at time complainant is with friend in taxi . complainant and friend get dropped off at locus , but taxi driver they have money to pay fare and will have to go into flat to get money . taxi driver asks that complainant gives her phone to him as security , whilst she gets . complainant then goes to flat whilst friend remains with taxi driver ( outside the taxi ) . after both fares have got out of taxi , the taxi driver drives away with property making good his escape ."
52,Other Theft,"at time complainant is with friend in taxi . complainant and friend get dropped off at locus , but taxi driver they have money to pay fare and will have to go into flat to get money . taxi driver asks that complainant gives her phone to him as security , whilst she gets . complainant then goes to flat whilst friend remains with taxi driver ( outside the taxi ) . after both fares have got out of taxi , the taxi driver drives away with property making good his escape ."
53,Violent Crime,"victim is a taxi driver who collected the suspect as a fare . victim has taken suspect to . whilst paying for the fare , the suspect has used a with a large to victim to causing ."
54,Violent Crime,aggrieved is a taxi driver who is taking 3 passengers home . one passenger becomes aggressive after a dispute over the price . aggrieved pulls over and suspect gets out and opens the driver 's door and tries to pull him out by the . suspect then makes off .
55,Other Theft,"2 suspects get into private hire taxi at the and on way and driver road , armley . just after driver had set off the female fare was sick in the taxi . the taxi driver suspects they would have to pay for the taxi the taxi driver pulled up at on lane the fares out of the taxi and off towards the ."
56,Other Theft,"victim is a taxi driver and picks up a fare in leeds city centre , he is then asked to stop at , and the male passenger goes into the shop leaving the female passenger in the vehicle . minutes later the male has still not returned so victim drives female to police station , she becomes agitated saying she needs to go to beeston but only has ∂ú10 she then makes off from the taxi ."
57,Criminal Damage,victim is taxi driver suspect from locus . suspects is sick on road side so ensues between victim and suspect regarding fare . suspect has driver off and suspect has kicked out at vehicle causing 1 to rear door and suspect shouts that he will the victim while he drives off . victim calls police .
58,Violent Crime,"the comp in this is a taxi driver and along with another car attends the public house to collect , which is booked under the name of . the male suspect and the female get into the car and the 4 get into the other taxi . the were booked for , but the passengers in the car do not know the location . the suspect becomes racially abusive to the comp and the female passenger tells the comp to the other car , which he does , when the taxi in front stops , the comp , pulls and it becomes that the other driver know the destination . the dispute continues and the comp that he will drive to base , which is agreed . on route , the suspect tells the comp to pull over , or he will assault him , the comp stops the car and the suspect then spits on the face , then punches him . the comp gets out of the vehicle , as does the female and suspect , the suspect kicks the car , causing damage and then the comp , causing injury . the comp to get back into his car and drives off , and reports the incident to base ."
59,Violent Crime,"complainant has been on a night out with several friends in , leeds . they have the taxi company in order to get a taxi home from road , to their home address . the taxi has and they have been home however when it has come to paying the fair , both parties have had a dispute . the taxi driver stated the complainant was would more , however the complainant stated they would not pay this . a fare of has been agreed and money has hands . the complainant has then the taxi meter was not running , which is the . the complainant has stated they will report them and whilst the vehicle from the rear nearside passenger door the taxi driver has to their location and has pulled them out by the complainants left , causing pain but no visible injury . the taxi driver has then run to the drivers door and driven from the location with the rear door still open , driving down hill towards road . the complainant has then the taxi company who have to ring the police ."
60,Theft From Motor Vehicle,"comp is taxi driver and attends to collect customer , whilst parked in pub suspect at comp through open door window , comp goes into rear of vehicle to remove same and whilst doing so the suspect leans in through open drivers door , removes comp 's mobile phone and makes off with same ."
61,Violent Crime,at time stated officers are to a call when they witness a taxi driver running around his car and to be running from a male . officers speak with the taxi driver who states that the suspect has punched him to the left side of his face and left should after a dispute over a fare . the victim has got out of his vehicle to get away from the suspect and the suspect has followed him . suspect is arrested for assault .
62,Criminal Damage,suspect approaches taxi and to driver and requests taxi . taxi driver explains another person has booked the car and female suspects upon this spits at the car and kicks at front offside car door causing a dent .
63,Other Theft,"victims phone was picked up at a party , by a friend who believed the phone to be her own . in the taxi on her way home friend she had two mobile phones with her . the taxi driver told friend that one of the phones have been left in the taxi . the taxi driver took the phone from her . the drove off with the mobile phone ."
64,Criminal Damage,"between times stated at locus , victim is a taxi driver that has been suspect a home . victim has taken suspect to , morley to get some money to pay fare . suspect gets out of taxi and goes to cash machine . suspect does not get any for the fare , victim goes to drive off and suspect grabs and front offside window causing it to smash . victim drives off and suspect runs off . suspect is located a short distance away and is arrested ."
65,Violent Crime,at times stated complainant in taxi refusing to pay upfront fare and taxi driver pushes his hand into her face with her . leaves taxi and taxi drives off in unknown direction .
66,Violent Crime,complainant is a taxi driver who collects a fare from to take to leeds . during the journey the suspect becomes abusive to the cost of the fare down . during this argument he pulls the taxi meter off the causing it to off but not causing any damage . once at the destination the suspect punches the complainant once to his arm not causing injury . complainant of alights from the taxi and runs off followed by the suspect . suspect then goes into a house and police are called .
67,Violent Crime,"the male victim is a taxi driver and has collected the female suspect and her friend from bradford and them to leeds with the that he would then take both back to bradford at a later time . the male victim has later attended to collect the female suspect to take her back to bradford , however was arriving and as when he has a verbal altercation has between the two . the has and the female suspect has to and punch the male victim around the head and face , then kicked him to the , not causing any visible injury , before his taxi from his car and making off on foot ."
68,Criminal Damage,"between times stated suspect is taken to in a taxi . suspect is sick in the taxi and refuses to pay his fare and , when he kicks the taxi causing damage to the rear and gives taxi driver some verbal abuse . taxi makes off to damage ."
69,Criminal Damage,"complainant is a taxi driver and collects suspect from her home address . between times stated the complainant took the suspect to another address to collect another female , this female was in drink and in the taxi . the complainant requests payment for this and the suspect becomes abusive calling the complainant a paki and also threatens to smash his car up . suspect then goes back in her home address ."
70,Violent Crime,"complainant is a taxi driver . in between times stated complainant had picked up suspect from to take him to his home address . complainant drove to address by to which the suspect aggressive , he to say you bastard your not a taxi driver your an suspect grabbed the complainants driving which was from the mirror . on arriving at suspects home address he got out of the taxi continued to use racist abuse . complainant got out of the taxi and asked for his , as he did so suspect complainant once in the chest refusing to give it back . suspect then went into his home address . complainant and for the police . suspect was later arrested on of racially assault and ."
71,Violent Crime,the complainant in this matter is a taxi driver who has attended the location to drop off a fair . having so the fare pays and goes into her house . later the suspect who is fares partner comes out of the same house opens the complainants car door and punches him to the face . the complainant drives up the road stops and calls for on his and the suspect back into the address . the witness who is also a taxi driver the shout and as he is near by attends the location . the suspect then from the address with a knife and the witness by to at him through the driver window . the knife and suspect runs back into the address . police attend and the suspect who is aggressive and and is eventually arrested .
72,Other Theft,"comp is taxi driver driving suspect to destination after a of drops , has handed over some cash to comp as has other passengers . his money back which comp hands over along with that of other passengers . suspect makes off with money ."
73,Robbery,"comp is taxi driver driving suspect home after making two drops , suspect gets angry about fare and starts punching comp to face , comp pulls up and punches continue until comp out of car and run away ."
74,Violent Crime,at time and date stated the victim is in a taxi home when the driver asks for . victim asks the taxi driver if he 's . taxi driver stops at locus and tells the victim to get out him at the same time . victim is still from an and is put in pain . victim the taxi driver down and journey before calling the police .
75,Other Theft,"complainant is a taxi driver , at time complainant is in the of suspect in taxi . upon arrival at destination the complainant informs the suspect of the fare . the suspect states he needs to with a friend in order to get the money . taxi driver asks suspect to leave phone as security , but suspect refuses . suspect then alights vehicle and into nearby car park and fails to return to the fare that is . are made to contact suspect on phone , but calls go ."
76,Violent Crime,"suspect fails to pay for fare in taxi causing argument between and the driver . the suspect attempts to take back his bank card from taxi driver which was as a which the taxi driver , suspect then a small change bag from within the vehicle and makes off on foot ."
77,Violent Crime,between date and times stated the complainant who is a taxi driver collects suspect from an address . the suspect gets into the vehicle with an open of . the driver asks the suspect to not drink and the suspect becomes verbally abusive towards the driver . at this the suspect punches driver to the side of the face and the suspect several times causing arm injuries to the arm and neck of the complainant . the victim drivers towards police station and the suspect then kicks the complainant to the left arm . suspect alights vehicle in police station car and makes off in unknown direction .
78,Violent Crime,the victim is a taxi driver and is waiting for a fare when the 3 suspects get into his vehicle . he that they are not his fare so he asks them to leave they then begin to hit him around the head calling him a bastard victim gets out of his vehicle and the suspects and again begin to assault him some males also and a a local and the suspects leave . the matter is to the police
79,Criminal Damage,"during stated times taxi driver picks up two females from train station and takes them to place , leeds , females state they have to go into property to get taxi fare , one female gives taxi a as security , 2 minutes later a male at drivers side and tries to open car door , shouting he wants the back , comp all doors and starts to drive off , male then kicks out at drivers door wing mirror and front causing damage to door and wing mirror . driver leaves scene to place of safety also his taxi fare of ."
80,Other Theft,"during stated times taxi driver picks up two females from train station and takes them to place , leeds , females state they have to go into property to get taxi fare , one female gives taxi a as security , 2 minutes later a male at drivers side and tries to open car door , shouting he wants the back , comp all doors and starts to drive off , male then kicks out at drivers door wing mirror and front causing damage to door and wing mirror . driver leaves scene to place of safety also his taxi fare of ."
81,Other Theft,complainant is a taxi driver and is working at the time of the offence . between times and dates stated complainant picks up a booked fare and transports suspect to stated address . suspect states he needs to go inside to get some money and fails to return with the money so police are contacted .
82,Violent Crime,"taxi driver picks up a fare outside night club , two females to go to drive , they ask the price of the fare and are told that on the . when the taxi reaches road they asked to be dropped off , the taxi driver tells them the fare is , they refuse to pay saying it was only and called the driver a paki bastard , one of the females pushes the driver on the back of his head as she gets out of the car . the other female throws a note onto the floor of the car and asks for change , the driver tells her that there is no change and reaches down for the money , as he did this the female grabs his and pulls them off his face , he tells her not to with them and to them , the female then punches the driver in the face before the car , both females run off down road out of"
83,Other Theft,is a taxi driver who picked up a fare from a city centre rank and having driven them to an address of their when for the fare when the suspects on one female left the cab .
84,Other Theft,"comp is taxi driver who picks up suspect . suspect to comp that he has no money on him but does have some in his hotel . upon the hotel , suspect goes in and out of his several times making the he was to pay before refusing to come back out and pay as he does not have the to do so ."
85,Other Theft,"victim is taxi driver working in leeds . between times stated victim collects fare from locus , victim∂®s mobile is in view within his vehicle as , suspect/s takes mobile and about his person . victim asks taxi to call mobile which to his sat via , phone rings when suspect is in . victim suspect but he taking phone ."
86,Violent Crime,"victim is a taxi driver who collects a pre-booked fare from an address in , the customer having been told by the taxi that payment upfront would be . suspect gets into taxi in rear seat and driver leaves address asking for fare to be paid . suspect refuses to pay fare and victim stops vehicle refusing to take suspect any further . suspect then assaults victim by punching him to the left side of his face causing a small cut next to the victim∂®s left eye . suspect then gets out of taxi and walks off and victim calls police ."
87,Other Theft,victim taxi driver with to collect on the taxi company they that any money has been
88,Other Theft,"suspect uses taxi service , arrives at destination and runs off in unknown direction without making payment to taxi driver for taxi ."
89,Other Theft,complainant is a taxi driver with . between stated times complainant picks up the suspect from and transports him to harehills . the suspect says he needs to go inside an address to get money for the fare so exits the vehicle . the complainant explains he is not for this and asks the suspect for his mobile phone as . the suspect refuses and pulls out a large knife from his and shouts at the complainant come near before running off . police are called but an area is .
90,Violent Crime,"on date and between times stated , victim who is a taxi driver has picked up suspect , who was in drink , and taken her to stated address . on arrival at address , victim has requested fare of but suspect is and does not leave vehicle . victim then drives towards police station and victim up and opens door to vehicle when in . victim stops the car and suspect gets out . victim calls police . suspect then grabs her bag and shouts you paki bastard , i you out before making off without to pay for the fare ."
91,Other Theft,complainant is a taxi driver and picks up fare . she asks him to collect a male on the way back which he does and when he drops them off at the requested street female says she can not pay for the fare which is . while fare male assaults complainant ( ) and female leaves the car and into nearby address .
92,Violent Crime,"victim is taxi driver who picks up 4 males . verbal argument ensues as driver for males to pay up front for fare to bradford . suspect sat in rear of vehicle grabs victim by the and also attempts to punch victim in side of head , but only makes contact with . victim stops and gets out of vehicle , taking of suspect . suspect gets angry and gets out of vehicle , kicks victim to . victim makes off on foot to other side of road . victim witnesses suspect get in driver 's seat and start items around in vehicle and hitting . other taxi driver stops and calls police , males suspect make off . victim returns to vehicle to find in cash missing ."
93,Violent Crime,"the victim is a taxi driver and is working at the time offence . the victim collects two males from seacroft , leeds . the males state they have no money but can a mobile phone as payment for the fare . the victim agrees to take this and takes the mobile phone . the victim takes the two males to were he stops and the two males get out of his taxi and a group of 4 males in the road . the suspect who is one of the 4 males in the street approaches the taxi and leans into the taxi via the passenger door , the suspect then asks for the mobile phone back . the victim refuses and the suspect shouts me the fucking phone you . the victim again refuses and drives off ."
94,Criminal Damage,victim is a taxi driver on attending to pick up a group of females a number of them get into the vehicle . the complainant asks them to get out as he is . one female becomes aggressive his car doors on a number of and kicking his rear causing no damage . victim drives away and calls the police . he later his vehicle to find damage has been caused
95,Other Theft,between times stated taxi driver collects suspect . suspect pays the taxi driver a of the and goes inside the house to collect the . the suspect never returns . the taxi company then make attempts to contact however no gain .
96,Violent Crime,"complainant is a taxi driver for amber cars , leeds . at time and date complainant collects a fare from club , , of two . two drop off are requested . at time of drop off unknown male suspect becomes verbally abusive towards the complainant . complainant told to stop and suspect alights from vehicle . at time he also opens front passenger door and pulls female from vehicle . suspect then kicks both doors ( no damage caused ) . a verbal altercation has then resulting in the suspect back into the taxi through a now open window and punches the complainant to his left shoulder ( no injuries caused ) . suspect then tries to pull complainant out of the car through the window at which point the female . the suspect then stops time for the complainant to drive off . fare ."
97,Other Theft,passenger ask taxi driver to wait until she returns with payment . after female to return with payment .
98,Criminal Damage,"unknown suspect takes sits in taxi taxi driver to take him home . taxi has other customers in the vehicle . suspect refuses to leave the vehicle . he eventually leaves but on doing so the passenger door and punches or kicks the door , causing damage ."
99,Other Theft,"victim who is a taxi driver from amber cars has a of passengers in his vehicle and travelling along road in the direction away from the city centre . the female passenger then throws up on the rear off side door of the taxi and the taxi driver stops the vehicle in the middle of the way and puts his causing a to and other road . passengers from taxi alight from vehicle and male passenger is seen to be with the female passenger he slaps once . both passengers then return to taxi and down . driver then demands payment for his vehicle of the sick . male passenger tells driver ( victim ) to fuck off and says female should pay for the for the sick . both passengers then alight from taxi again and then victim demands payment for sick again to which is make passenger fuck off and then begins to walk away with female passenger , and again is to be hitting the female . both parties leave scene . driver then calls and police sees victims vehicle stopped in the middle of the way and stops behind vehicle to it from on and victim is to and told to leave ."
100,Violent Crime,"at time date location suspect grabs victim who is a taxi driver around his neck and shouts my taxi , my the suspect grabs the victim in this way on three , victims reports the matter to police ."
101,Violent Crime,"the complainant is a taxi driver and between the times stated in parked in the outside the , street , leeds . the taxi is approached by the suspect who becomes abusive the taxi took another fare over him and he then punches the wing mirror the glass from the and then starts to shout threats at the driver . he then makes his way to the driver∂®s side , to make threats . the drive believes that he is about to be assault and inside the car and calls the police . the witness also believes that the drive is about to be assault and who they have of his behaviour"
102,Violent Crime,"complainant is a taxi driver and attends the service station , road , leeds for a fare . males get into the taxi . one male ( suspect ) , begins to argue about the fare and having to pay up front . suspect then gets out of the taxi , hits the window , but causes no damage . then approaches the driver 's door , opens it and punches the complainant to the head causing and a . the complainant down and is further punched to the shoulder . the other males get out of the taxi and all run off the road ."
103,Other Theft,"victim gets into taxi with phone , when leaving taxi realises have phone . rings taxi driver and asks for the phone to be returned , driver having the phone in the taxi ."
104,Other Theft,complainants bag left inside taxi . suspect taxi driver of items from complainants bag before returning same .
105,Other Theft,"between times stated , caller dropped his phone in taxi and left vehicle without . taxi driver made off with same . company to give details of the driver ."
106,Other Theft,"complainants left in boot of , on with taxi firm was found , believes taxi driver has stolen the ."
107,Other Theft,at time stated suspect have taken a private hire taxi to location where upon suspects have to pay for journey . one of suspects makes off on foot making no attempt to pay or leave details and suspect walks to nearby food making no attempt to pay for journey and refuses to leave details . he is with taxi driver and police who arrive on scene and is arrested . male then returns and is also arrested .
108,Other Theft,"complainant leaves property behind in taxi and contacted taxi company and taxi driver not seen it , did pick up after complainant"
109,Other Theft,"is a taxi driver who picks up a fare after contact with police . fare is drunk and or to give address and . taxi driver attends local police station , another contact with police and is given an address of road , leeds . he drives the fare to this address and tells her it is , she tells him to fuck off and alights from the taxi and goes inside the address . the taxi driver sees her at the top floor window as she pulls the . she does not come out of the house and no fare is paid ."
110,Other Theft,suspects refuse to make payment to taxi driver and make off with no attempt to pay .
111,Other Theft,complainant leaves bag in rear of taxi as he arrives at destination . taxi driver bag and hands it to another passenger .
112,Theft From Motor Vehicle,"between times and date stated the victim who is taxi driver has attended at police station to pick up a fare . suspect had just been from . victim has suspect to address given to him by suspect . on arrival suspect has gone into address to get money to pay the fare , whilst victim outside . suspect has returned a short time later and stated that he has to go to another address to get money . victim then drivers the suspect to another address . suspect goes into address and returns a short time later and pays the fare . suspect asks to be driven back to first address , which victim does . whilst on route suspect who is in the front passenger seat places his over the . the victim of his money in a in the . the suspects asks to use the victim∂®s mobile phone and whilst the victim is for his mobile phone , suspect removes a small amount of money . the suspect then gets out of the taxi and goes into the first address . the victim realises that money has been stolen and goes over to the address . the victim the suspect and demands the money back . the suspect hands back out of that had been stolen . the suspect wants the of the money but the suspect refuses . the victim then phones the police and the suspect makes off ."
113,Violent Crime,"suspect taxi driver by punching , of taxi during dispute over payment . injuries"
114,Other Theft,victim is taxi driver and suspect is a customer - drunk at the time . victim drives suspect around to several locations and his phone so she can ring a friend . suspect then makes off from vehicle with phone without payment for taxi and phone .
